Expected Information,Response,,,,,,,,,,,,,,,,,,,,,,,,
Reetika Shah,,,,,,,,,,,,,,,,,,,,,,,,,
What's a lesson your younger self would be surprised you eventually learned?,"No matter what you do, people are responsible for their own actions. Everyone's an adult and they know what they're doing.",,,,,,,,,,,,,,,,,,,,,,,,
What's something you're weirdly good at that has nothing to do with therapy?,Crochet,,,,,,,,,,,,,,,,,,,,,,,,
What's something you're still working on about yourself?,Having faith that some things just need time. No amount of overthinking or overplanning can rush them along.,,,,,,,,,,,,,,,,,,,,,,,,
What's a book or film that changed how you see people?,Forty Rules of Love Elif Shafak,,,,,,,,,,,,,,,,,,,,,,,,
What's a misconception about therapy you wish more people knew wasn't true?,You don't have to share everything with your therapist in the first session. Trust is built gradually and you can choose to keep things to yourself until that trust is built,,,,,,,,,,,,,,,,,,,,,,,,
What do you hope someone feels like when they leave a session with you?,"Safe. Things won't always feel resolved by the end of a session, but I want every client to leave feeling safe.",,,,,,,,,,,,,,,,,,,,,,,,
"What still surprises you about doing this work, even now?","How much good is still in people, even after everything they've been through. So many could've chosen to be harsh, and everyday they choose kindness instead.",,,,,,,,,,,,,,,,,,,,,,,,
Manvi,,,,,,,,,,,,,,,,,,,,,,,,,
What's a lesson your younger self would be surprised you eventually learned?,I am more than what I do for other people.,,,,,,,,,,,,,,,,,,,,,,,,
What's something you're weirdly good at that has nothing to do with therapy?,Noticing shapes in clouds and guessing a song within the first 15 seconds.,,,,,,,,,,,,,,,,,,,,,,,,
What's something you're still working on about yourself?,"Accepting that some things are simply beyond my control, and learning that that's okay.",,,,,,,,,,,,,,,,,,,,,,,,
What's a book or film that changed how you see people?,"P.S. I Love You by Cecelia Ahern. It showed me just how messy grief can be, and how love can continue to exist alongside it.",,,,,,,,,,,,,,,,,,,,,,,,
What's a misconception about therapy you wish more people knew wasn't true?,"Your concerns do not have to be “bad enough” to deserve care. And you really don't have to immediately trust your therapist either. I would much rather we build trust together, so that when something doe nott feel right, you know we can talk about it and work through it.",,,,,,,,,,,,,,,,,,,,,,,,
What do you hope someone feels like when they leave a session with you?,"A little less alone, a little more capable, a lot more curious about themselves, and maybe with a few little tinglings of self-compassion.",,,,,,,,,,,,,,,,,,,,,,,,
"What still surprises you about doing this work, even now?","How resilient people are. I often think about how someone could have given up, but they are still here, still trying. How many of us are trying, every single day, to do a little better. I am also struck by how universal so many of our experiences are, while each person's way of experiencing them is completely their own. And, perhaps most of all, by how much goodness there is in people.",,,,,,,,,,,,,,,,,,,,,,,,
