Expected Information,Response,Links (if required),Comment,,,,,,,,,,,,,,,,,,,,,,
"Official practice or clinic name:
",Ankahee,,,,,,,,,,,,,,,,,,,,,,,,
Name exactly as it should appear in the website header and footer:,Ankahee,,,,,,,,,,,,,,,,,,,,,,,,
Tagline,Between the Lines,,,,,,,,,,,,,,,,,,,,,,,,
Short description of the practice in 2–4 sentences:,"At Ankahee, we believe therapy starts with understanding. We offer therapy across India, supporting people through anxiety, relationship concerns, grief, trauma, life transitions, and the everyday challenges that can feel difficult to navigate alone. 

- 18-55 years 
- Online Therapy
- Individual and Couples ",,"PS: Look at Amaha's Homepage
",,,,,,,,,,,,,,,,,,,,,,
Primary email address:,care@ankahee.in,,,,,,,,,,,,,,,,,,,,,,,,
Primary phone / WhatsApp number:,Both numbers,,,,,,,,,,,,,,,,,,,,,,,,
"Full address, city, and service locations, or confirm “Online only”:
",Online Only,,,,,,,,,,,,,,,,,,,,,,,,
"Working days and consultation hours:
",6 days (except Wednesday),,,,,,,,,,,,,,,,,,,,,,,,
Google Maps link and social profile links:,Manvi will make the LinkedIn profile and share the link,,,,,,,,,,,,,,,,,,,,,,,,
